passage,question,reference,answer,A,B,C
"The animals of the field and forest had a Lion as their King.
When anyone had a problem, he took it to the Lion King, and the
Lion King helped to solve it. When anyone had an argument, they
took it to the Lion King, and he helped to settle it. The Lion King
never made demands that were in his own interest. He wanted only
what was best for each and every animal.
Day after day, the Lion King thought about nothing but the
animals who were his subjects. Then he sat down and wrote out a
Royal Order. He called all the animals to come before him. He stood
on a hilltop and watched the animals come together from far and
near. He waited for them to settle.
“Hear ye, hear ye!” the Lion began, in his deep and rumbling
voice. “I have written out my orders for a new way of doing things
that will be better for all. From this day forward, the Wolf and the
Lamb shall agree to live in peace. The Panther and the Goat shall
live in peace. The Tiger and the Deer, and the Dog and the Rabbit—
all shall live together in perfect peace and harmony.
The Rabbit said, ""Oh, how I have longed to see this day, in
which the weak shall take their place without fear, by the side of the
strong."" And after the Rabbit said this, he ran for his life.",Why did the animals bring their problems to the Lion?,,B,The animals knew the Lion was powerful.,The animals knew the Lion was fair.,The animals feared that the Lion would punish them.
"The animals of the field and forest had a Lion as their King.
When anyone had a problem, he took it to the Lion King, and the
Lion King helped to solve it. When anyone had an argument, they
took it to the Lion King, and he helped to settle it. The Lion King
never made demands that were in his own interest. He wanted only
what was best for each and every animal.
Day after day, the Lion King thought about nothing but the
animals who were his subjects. Then he sat down and wrote out a
Royal Order. He called all the animals to come before him. He stood
on a hilltop and watched the animals come together from far and
near. He waited for them to settle.
“Hear ye, hear ye!” the Lion began, in his deep and rumbling
voice. “I have written out my orders for a new way of doing things
that will be better for all. From this day forward, the Wolf and the
Lamb shall agree to live in peace. The Panther and the Goat shall
live in peace. The Tiger and the Deer, and the Dog and the Rabbit—
all shall live together in perfect peace and harmony.
The Rabbit said, ""Oh, how I have longed to see this day, in
which the weak shall take their place without fear, by the side of the
strong."" And after the Rabbit said this, he ran for his life.",Why did the Lion write a Royal Order?,,A,The Lion wanted the best for each and every animal.,The Lion was tired of the animals bringing their problems to him.,The Lion wanted to be King of the field and forest.
"The animals of the field and forest had a Lion as their King.
When anyone had a problem, he took it to the Lion King, and the
Lion King helped to solve it. When anyone had an argument, they
took it to the Lion King, and he helped to settle it. The Lion King
never made demands that were in his own interest. He wanted only
what was best for each and every animal.
Day after day, the Lion King thought about nothing but the
animals who were his subjects. Then he sat down and wrote out a
Royal Order. He called all the animals to come before him. He stood
on a hilltop and watched the animals come together from far and
near. He waited for them to settle.
“Hear ye, hear ye!” the Lion began, in his deep and rumbling
voice. “I have written out my orders for a new way of doing things
that will be better for all. From this day forward, the Wolf and the
Lamb shall agree to live in peace. The Panther and the Goat shall
live in peace. The Tiger and the Deer, and the Dog and the Rabbit—
all shall live together in perfect peace and harmony.
The Rabbit said, ""Oh, how I have longed to see this day, in
which the weak shall take their place without fear, by the side of the
strong."" And after the Rabbit said this, he ran for his life.",Why did the Lion call all the creatures together to hear the Royal Order?,,C,The Lion wanted to show off his power.,The Lion wanted to punish the strongest of the creatures.,The Lion wanted every creature to hear the new rules.
"The animals of the field and forest had a Lion as their King.
When anyone had a problem, he took it to the Lion King, and the
Lion King helped to solve it. When anyone had an argument, they
took it to the Lion King, and he helped to settle it. The Lion King
never made demands that were in his own interest. He wanted only
what was best for each and every animal.
Day after day, the Lion King thought about nothing but the
animals who were his subjects. Then he sat down and wrote out a
Royal Order. He called all the animals to come before him. He stood
on a hilltop and watched the animals come together from far and
near. He waited for them to settle.
“Hear ye, hear ye!” the Lion began, in his deep and rumbling
voice. “I have written out my orders for a new way of doing things
that will be better for all. From this day forward, the Wolf and the
Lamb shall agree to live in peace. The Panther and the Goat shall
live in peace. The Tiger and the Deer, and the Dog and the Rabbit—
all shall live together in perfect peace and harmony.
The Rabbit said, ""Oh, how I have longed to see this day, in
which the weak shall take their place without fear, by the side of the
strong."" And after the Rabbit said this, he ran for his life.",What was the purpose of the Lion’s Royal Order?,,A,Natural enemies would live together in peace.,Natural enemies would live in different places of the forest.,Natural enemies would have to settle their own differences.
"The animals of the field and forest had a Lion as their King.
When anyone had a problem, he took it to the Lion King, and the
Lion King helped to solve it. When anyone had an argument, they
took it to the Lion King, and he helped to settle it. The Lion King
never made demands that were in his own interest. He wanted only
what was best for each and every animal.
Day after day, the Lion King thought about nothing but the
animals who were his subjects. Then he sat down and wrote out a
Royal Order. He called all the animals to come before him. He stood
on a hilltop and watched the animals come together from far and
near. He waited for them to settle.
“Hear ye, hear ye!” the Lion began, in his deep and rumbling
voice. “I have written out my orders for a new way of doing things
that will be better for all. From this day forward, the Wolf and the
Lamb shall agree to live in peace. The Panther and the Goat shall
live in peace. The Tiger and the Deer, and the Dog and the Rabbit—
all shall live together in perfect peace and harmony.
The Rabbit said, ""Oh, how I have longed to see this day, in
which the weak shall take their place without fear, by the side of the
strong."" And after the Rabbit said this, he ran for his life.","Think about what makes the most sense, to draw a conclusion: The Rabbit said, “Oh, how I have longed to see this day, in which the weak shall take their place without fear, by the side of the strong.” And after the Rabbit said this, he ran for his life. This is probably because:",,B,The Rabbit was afraid that the Lion was trying to trick all the creatures.,The Rabbit did not think the Lion’s new rules would work.,The Rabbit did not want to be friends with the Dog.
"A very Elderly Lion, weakened by old age and old injuries, could
no longer hunt for his food. He lived for a while on grass and berries,
but this made him grow still weaker. He decided to use his brain to
take what he could not get by force.
The Elderly Lion lay down in his den. He told every animal and
bird who passed by that he was very sick. The animals all got the
news of Elderly Lion’s illness, and came one by one to visit him.
Squirrel came, bringing fresh grasses and berries. Squirrel was not
seen after that. Dove came, bringing more fresh grasses and
berries. Dove was not seen after that. More animals went to visit the
Elderly Lion, and it became clear that animals were disappearing.
Fox thought about the situation. He decided to go and visit the
Elderly Lion. He went to the Elderly Lion’s den and stood outside at
a respectful distance. “How are you feeling today?” Fox asked.
“Not well, not at all well,” said the Elderly Lion. “But why do you
stand there outside? Please—come inside and visit with me for a
while.”
“No thank you,” said Fox. “I notice that there are many footprints
leading into your den, but I see no trace of any leading out.”",How did the Elderly Lion use his brain instead of force?,,A,The Elderly Lion tricked the animals into coming into his den.,The Elderly Lion stored up grass and berries for the winter.,"The Elderly Lion moved to a different den, where better foods grew."
"A very Elderly Lion, weakened by old age and old injuries, could
no longer hunt for his food. He lived for a while on grass and berries,
but this made him grow still weaker. He decided to use his brain to
take what he could not get by force.
The Elderly Lion lay down in his den. He told every animal and
bird who passed by that he was very sick. The animals all got the
news of Elderly Lion’s illness, and came one by one to visit him.
Squirrel came, bringing fresh grasses and berries. Squirrel was not
seen after that. Dove came, bringing more fresh grasses and
berries. Dove was not seen after that. More animals went to visit the
Elderly Lion, and it became clear that animals were disappearing.
Fox thought about the situation. He decided to go and visit the
Elderly Lion. He went to the Elderly Lion’s den and stood outside at
a respectful distance. “How are you feeling today?” Fox asked.
“Not well, not at all well,” said the Elderly Lion. “But why do you
stand there outside? Please—come inside and visit with me for a
while.”
“No thank you,” said Fox. “I notice that there are many footprints
leading into your den, but I see no trace of any leading out.”","Why did the animals come to visit the Elderly Lion when they heard about his
illness?",,C,The animals were afraid of the Elderly Lion,The animals hoped the Elderly Lion would move somewhere else.,The animals felt sorry for the Elderly Lion.
"A very Elderly Lion, weakened by old age and old injuries, could
no longer hunt for his food. He lived for a while on grass and berries,
but this made him grow still weaker. He decided to use his brain to
take what he could not get by force.
The Elderly Lion lay down in his den. He told every animal and
bird who passed by that he was very sick. The animals all got the
news of Elderly Lion’s illness, and came one by one to visit him.
Squirrel came, bringing fresh grasses and berries. Squirrel was not
seen after that. Dove came, bringing more fresh grasses and
berries. Dove was not seen after that. More animals went to visit the
Elderly Lion, and it became clear that animals were disappearing.
Fox thought about the situation. He decided to go and visit the
Elderly Lion. He went to the Elderly Lion’s den and stood outside at
a respectful distance. “How are you feeling today?” Fox asked.
“Not well, not at all well,” said the Elderly Lion. “But why do you
stand there outside? Please—come inside and visit with me for a
while.”
“No thank you,” said Fox. “I notice that there are many footprints
leading into your den, but I see no trace of any leading out.”","Why were Squirrel, Dove, and other animals not seen again after visiting the
Elderly Lion?",,A,The Elderly Lion ate them when they came into his den.,The Elderly Lion told them they should move to another part of the forest,"The Elderly Lion let them stay with him, there in his den."
"A very Elderly Lion, weakened by old age and old injuries, could
no longer hunt for his food. He lived for a while on grass and berries,
but this made him grow still weaker. He decided to use his brain to
take what he could not get by force.
The Elderly Lion lay down in his den. He told every animal and
bird who passed by that he was very sick. The animals all got the
news of Elderly Lion’s illness, and came one by one to visit him.
Squirrel came, bringing fresh grasses and berries. Squirrel was not
seen after that. Dove came, bringing more fresh grasses and
berries. Dove was not seen after that. More animals went to visit the
Elderly Lion, and it became clear that animals were disappearing.
Fox thought about the situation. He decided to go and visit the
Elderly Lion. He went to the Elderly Lion’s den and stood outside at
a respectful distance. “How are you feeling today?” Fox asked.
“Not well, not at all well,” said the Elderly Lion. “But why do you
stand there outside? Please—come inside and visit with me for a
while.”
“No thank you,” said Fox. “I notice that there are many footprints
leading into your den, but I see no trace of any leading out.”",Why did Fox decide to go and visit the Elderly Lion?,,C,Fox wanted to tell the Elderly Lion he was sorry he was sick.,"Fox wanted to take the Elderly Lion something that would make him feel
better.",Fox wanted to find out why animals were disappearing.
"A very Elderly Lion, weakened by old age and old injuries, could
no longer hunt for his food. He lived for a while on grass and berries,
but this made him grow still weaker. He decided to use his brain to
take what he could not get by force.
The Elderly Lion lay down in his den. He told every animal and
bird who passed by that he was very sick. The animals all got the
news of Elderly Lion’s illness, and came one by one to visit him.
Squirrel came, bringing fresh grasses and berries. Squirrel was not
seen after that. Dove came, bringing more fresh grasses and
berries. Dove was not seen after that. More animals went to visit the
Elderly Lion, and it became clear that animals were disappearing.
Fox thought about the situation. He decided to go and visit the
Elderly Lion. He went to the Elderly Lion’s den and stood outside at
a respectful distance. “How are you feeling today?” Fox asked.
“Not well, not at all well,” said the Elderly Lion. “But why do you
stand there outside? Please—come inside and visit with me for a
while.”
“No thank you,” said Fox. “I notice that there are many footprints
leading into your den, but I see no trace of any leading out.”","Think about what makes the most sense, to draw a conclusion: “‘No thank you, said Fox.’ I notice that there are many footprints leading into your den, but I see no trace of any leading out.” This is probably because:",,A,"Fox sees proof that the Elderly Lion has eaten the animals who visited
him.",Fox doesn’t believe that it is the Elderly Lion who is speaking.,Fox wants to ask the Elderly Lion why animals are disappearing.
"The Traveler
A man who had traveled far and wide came home to his
small village. He gathered the villagers together to tell them of
all the wonderful things he had done in all the places he had
visited.
In Russia, he had cut bricks of ice and built a palace. In
China, he had flown the best dragon kite anyone had ever
seen. In Africa, he had chased a lion. In Australia, he had
jumped farther than the kangaroos. He had jumped farther than
any man alive.
The villagers listened with interest at first, and then began
to smile. They turned to walk away, but the traveler said that
there were many people in Australia who had seen his jump.
They would be happy to be his witnesses.
One of the villagers turned back to the traveler. “My good
man,” he said. You need no witnesses. “Just pretend this is
Australia, and show us.”","Why did the traveler gather the villagers together to tell about his
travels?",,A,He wanted them to admire him.,He wanted to make them laugh.,They thought the traveler was a famous man.
"The Traveler
A man who had traveled far and wide came home to his
small village. He gathered the villagers together to tell them of
all the wonderful things he had done in all the places he had
visited.
In Russia, he had cut bricks of ice and built a palace. In
China, he had flown the best dragon kite anyone had ever
seen. In Africa, he had chased a lion. In Australia, he had
jumped farther than the kangaroos. He had jumped farther than
any man alive.
The villagers listened with interest at first, and then began
to smile. They turned to walk away, but the traveler said that
there were many people in Australia who had seen his jump.
They would be happy to be his witnesses.
One of the villagers turned back to the traveler. “My good
man,” he said. You need no witnesses. “Just pretend this is
Australia, and show us.”",Why were the villagers interested in the travelers’ stories at first?,,A,They thought the stories were true.,They thought the traveler was just bragging.,They thought the traveler was a famous man.
"The Traveler
A man who had traveled far and wide came home to his
small village. He gathered the villagers together to tell them of
all the wonderful things he had done in all the places he had
visited.
In Russia, he had cut bricks of ice and built a palace. In
China, he had flown the best dragon kite anyone had ever
seen. In Africa, he had chased a lion. In Australia, he had
jumped farther than the kangaroos. He had jumped farther than
any man alive.
The villagers listened with interest at first, and then began
to smile. They turned to walk away, but the traveler said that
there were many people in Australia who had seen his jump.
They would be happy to be his witnesses.
One of the villagers turned back to the traveler. “My good
man,” he said. You need no witnesses. “Just pretend this is
Australia, and show us.”","Why did the villagers start to smile and walk away?
",,C,They thought the traveler was joking.,They were jealous of the traveler.,They decided the traveler was just bragging.
"The Traveler
A man who had traveled far and wide came home to his
small village. He gathered the villagers together to tell them of
all the wonderful things he had done in all the places he had
visited.
In Russia, he had cut bricks of ice and built a palace. In
China, he had flown the best dragon kite anyone had ever
seen. In Africa, he had chased a lion. In Australia, he had
jumped farther than the kangaroos. He had jumped farther than
any man alive.
The villagers listened with interest at first, and then began
to smile. They turned to walk away, but the traveler said that
there were many people in Australia who had seen his jump.
They would be happy to be his witnesses.
One of the villagers turned back to the traveler. “My good
man,” he said. You need no witnesses. “Just pretend this is
Australia, and show us.”","Why did the traveler say that there were people in Australia who would
be his witnesses?",,B,He knew the villagers believed him.,He wanted the villagers to believe him.,He wanted to go back to Australia.
"The Traveler
A man who had traveled far and wide came home to his
small village. He gathered the villagers together to tell them of
all the wonderful things he had done in all the places he had
visited.
In Russia, he had cut bricks of ice and built a palace. In
China, he had flown the best dragon kite anyone had ever
seen. In Africa, he had chased a lion. In Australia, he had
jumped farther than the kangaroos. He had jumped farther than
any man alive.
The villagers listened with interest at first, and then began
to smile. They turned to walk away, but the traveler said that
there were many people in Australia who had seen his jump.
They would be happy to be his witnesses.
One of the villagers turned back to the traveler. “My good
man,” he said. You need no witnesses. “Just pretend this is
Australia, and show us.”","Think about what makes the most sense, to draw a conclusion: “One of the villagers turned back to the traveler. ‘My good man,’ he said. You need no witnesses. Just pretend this is Australia, and show us.’” This is probably because:",,A,The villager knew that the traveler could not jump as far as he said.,The villager was excited to see such a jump.,The villager felt sorry for the traveler.
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of acoustics,,C,…filled with sounds…,…surrounded by sound…,…study of…
